post_body,retweets,likes,comments,views,timestamp,n_words,post_eval,category
Así mismo es princesa los animales son parte de la vida de una familia no parte de una familia ni tratarlos como hijos hermanos o cuantos se les ocurra estas son conceptos del wokismo,,2.0,2.0,833,2024-05-11T21:23:33.000Z,0,"la explicación del post es que se trata de un ejemplo de hate speech. el autor del post utiliza una retórica discriminatoria y peyorativa al describir el wokismo, un movimiento social que busca promover la inclusión y la diversidad, como si fuera una ideología que trata a los animales como ""hijos"" o ""hermanos"". la utilización de términos como ""princesa"" y ""parte de la vida de una familia"" tiene un tono paternalista y despectuoso hacia los animales, lo que sugiere una actitud discriminatoria y discriminatoria hacia ellos. además, el uso de la palabra ""wokismo"" como si fuera un término peyorativo, sugiere que el autor tiene una actitud negativa y discriminatoria hacia la cultura y las prácticas del wokismo, lo que también es un ejemplo de hate speech.",no hate
"Los gatos son como los tatuajes. Siempre vas a querer uno más. Adopta, no compres. _arcgl
.
#adoptenocompre #rescata #esterilizarsalvavidas #adoptenocompre
. 
Estamos viendo mucha crueldad contra los animales por… https://instagram.com/p/CBdtA3SpnA-/?igshid=1s8us45ezzkd2…",,1.0,1.0,,2020-06-15T17:28:13.000Z,0,"el post en cuestión no contiene contenido que pueda ser considerado como hate speech. el autor del post está promoviendo la adopción de gatos en lugar de comprarlos, y está compartiendo un mensaje de conciencia sobre la crueldad hacia los animales. el lenguaje utilizado es respetuoso y no contiene palabras o frases que puedan ser consideradas discriminatorias, intolerantes o que promuevan la violencia hacia cualquier grupo o individuo.",no hate
"Los dos deberes históricos graves de ISKCON son preservar nuestra tradición y adaptarse a los tiempos cambiantes. Los movimientos religiosos, tanto como los animales, se extinguirán si no… https://instagram.com/p/BrWnPo8ACDy/?utm_source=ig_twitter_share&igshid=65xszehi4sj9…",,,,,2018-12-14T03:52:42.000Z,0,"la explicación del post no sugiere contenido de odio (hate speech). el post parece ser un mensaje religioso de iskcon (internacional society for krishna consciousness), un movimiento religioso que busca preservar su tradición y adaptarse a los cambios del mundo. el contenido es neutro y no contiene lenguaje discriminatorio, insultante o incitante al odio hacia cualquier grupo o individuo. el post parece ser una reflexión filosófica sobre la importancia de mantener la tradición y adaptarse a los cambios, sin mencionar ni criticar a nadie en particular.",no hate
Porque el ser humano entra en rińa como si fueran animales al final ambos son seres vivos Somos una marca promovemos nuestra cultura y colores Afrodecendiente ®Varpanet Natural Mystic… https://instagram.com/p/BoDVuIphzc5/?utm_source=ig_twitter_share&igshid=1pg72r7kyhhz1…,,,,,2018-09-23T02:41:10.000Z,0,"el post en cuestión es un mensaje publicado en la plataforma de instagram que promueve la cultura y los colores afrodecendiente. el autor del post compara la forma en que las personas se comportan en la sociedad con la forma en que los animales se comportan en la naturaleza, sugiriendo que, al final, todos somos seres vivos. el post incluye una mención a una marca que promueve la cultura afrodecendiente y una referencia a una canción de bob marley, ""natural mystic"".

en cuanto al contexto de habla, el post parece ser un mensaje de apoyo y celebración de la cultura afrodecendiente, sin contenido discriminatorio o de odio hacia cualquier grupo étnico o religioso. no contiene lenguaje ofensivo, amenazas o insultos, y no promueve la violencia o la discriminación. por lo tanto, no se considera hate speech.",no hate
"El punto es que no es una boa por la forma de la cabeza. Y usualmente las venenosas son coloridas, excepto las patocas y la X. 

Y no se de todo. Cómo por ejemplo no se del espacio, de aviones, armas o soccer. Pero de animales si sé. Me gustan. Que tiene eso de malo?",,3.0,3.0,,2019-11-26T21:03:49.000Z,0,"el post en cuestión no contiene características comunes del hate speech, como la discriminación, la intolerancia o la violencia hacia un grupo de personas o una minoría. en lugar de eso, el autor del post parece estar expresando una opinión personal sobre la educación y el conocimiento, específicamente sobre la cantidad de información que se puede aprender sobre diferentes temas. el autor menciona que no sabe mucho sobre ciertos temas, como el espacio o la tecnología, pero que sí tiene conocimientos sobre animales, lo que sugiere que su interés y curiosidad se centran en ciertos áreas específicas.

en general, el post no contiene elementos discriminatorios, intolerantes o violentos, y no parece ser un ejemplo de hate speech.",no hate
"ALCALDE DE COLÓN MUESTRA SU CASA

Diógenes Galván piloto del Canal de Panamá y alcalde electo de Colón muestra como vive y a su familia 

Me gusta esta política abierta y transparente, me pregunto si nuestros honorables dinosaurios también podrían mostrar su",141.0,942,41.0,148 mil,2024-05-12T16:20:24.000Z,0,"la explicación del post es que no se trata de hate speech. el post parece ser una publicación que celebra la transparencia y la apertura de un político, diógenes galván, alcalde electo de colón, quien muestra su hogar y su familia. el lenguaje utilizado es neutral y no contiene insultos, amenazas, discriminación o cualquier otro elemento que caracterice el hate speech. el tono es más bien positivo y admira la gestión pública transparente del alcalde.",no hate
"Hago un reconocimiento público a @Diogenesgalvann, alcalde electo de la ciudad de Colón.

Diógenes es un colonense que viene de una familia humilde de 9 hermanos, cuya abuela con el sudor de su frente levantó a sus nietos a punta de educación, todos los 9 nietos llegaron a ser…",82.0,336,35.0,17 mil,2024-05-11T12:26:51.000Z,0,"la explicación del post es que no se trata de hate speech. el post es un reconocimiento público y un elogio hacia la persona mencionada, @diogenesgalvann, alcalde electo de la ciudad de colón, destacando su origen humilde y la educación que recibió. el tono es positivo y respetuoso, no contiene lenguaje ofensivo, discriminatorio ni de odio.",no hate
COLÓN DE LA PINGA,292.0,1 mil,104.0,57 mil,2024-05-05T23:04:22.000Z,pinga,"el post presentado es un ejemplo de hate speech, ya que contiene un lenguaje ofensivo y discriminatorio dirigido hacia una persona o grupo de personas (en este caso, mujeres) y su objetivo es causar dolor, humillación o intimidación. la utilización del término ""pinga"" es un insulto sexista y discriminatorio, y su inclusión en el post lo convierte en un ejemplo de hate speech.",hate
"“extingan las comarcas y colon” fren en panama y panama oeste que eran regiones mas importantes, tampoco ganó lombana  callate la boca",3.0,6,1.0,236,2024-05-06T00:29:53.000Z,"extingan, comarcas, colon, lombana, callate","la explicación del post es que se trata de un ejemplo de hate speech, ya que contiene lenguaje discriminatorio y despectivo hacia una región y una etnia específica (comarcas y colon, probablemente referidos a comunidades afropanameñas). el uso de palabras como ""callate la boca"" (silencio, en este contexto) sugiere una intención de intimidación y silenciamiento hacia aquellos que podrían estar hablando sobre la situación de esas comunidades.",hate
"#Detención| Sección de Homicidio y Femicidio de Colón y Guna Yala logró la detención provisional para un hombre extraditado desde Colombia, imputado por homicidio, tentativa de homicidio, robo, privación de libertad y asociación ilícita, ocurridos en el año 2022, en Colón.",,1,,473,2024-05-12T19:56:24.000Z,0,"este post no contiene elementos de hate speech. es un comunicado de prensa que informa sobre una detención provisional relacionada con un caso de crimen cometido en colón y guna yala, y no contiene lenguaje discriminatorio, despectivo o hostil hacia ninguna persona o grupo en particular. el post simplemente transmite información objetiva sobre un caso judicial.",no hate
Bien Colón!,,,,92,2024-05-06T01:43:19.000Z,0,"el post ""bien colón!"" es un ejemplo de hate speech, ya que está asociado con una figura histórica conocida por su rol en la colonización y esclavización de pueblos indígenas y africanos. la frase utilizada es un ejemplo de apoyo y celebración hacia una figura que ha sido ampliamente condenada por sus acciones. en este contexto, el post puede ser considerado como una forma de expresar desprecio y odio hacia las víctimas de la colonización y esclavitud, lo que es una forma de hate speech.",no hate
"Nunca jamás voy a aceptar a Mulino como presidente, su campaña de basó en el respaldo de un ladrón asilado. Tiene en su círculo cero gente corrupta y jamás ha pagado el daño que hizo en San Felix y Colón de la gente que murió y perdió la vista. Un discurso de mierda no me compra.",72.0,261,57.0,15 mil,2024-05-11T06:21:55.000Z,"ladrón, corrupta, mierda","la explicación del post es un ejemplo de crítica política y social, dirigida contra un candidato político, mulino, cuya campaña se basa en el apoyo de una persona con antecedentes penales. el autor del post se refiere a la posible elección de mulino como presidente y expresa su rechazo y desconfianza hacia él, argumentando que tiene un círculo de personas corruptas y que no ha sido capaz de hacer justicia por los daños causados en un incidente en san felix y colón. el lenguaje utilizado es fuerte y ofensivo, pero no es necesariamente hate speech, ya que no contiene elementos discriminatorios o de odio hacia una persona o grupo por razones como la raza, religión, género, orientación sexual, etc. sin embargo, es importante destacar que la crítica política y social debe ser respetuosa y no utilizar lenguaje ofensivo o discriminatorio.",hate
si alex lee y bolota vuelven a ganar cambiare mi residencia para arraijan que pereza q colon quiera seguir en las mismas,,4,,1 mil,2024-05-05T19:37:12.000Z,"bolota, pereza, q, colon","el post en cuestión es un ejemplo de hate speech cuando se refiere a la amenaza de cambiar de residencia si los personajes mencionados (alex lee y bolota) no ganan. la amenaza se dirige a una comunidad o grupo de personas (los que ""quieren seguir en las mismas"") y tiene como objetivo intimidarlos o coaccionarlos para que adopten una determinada actitud o comportamiento. además, la utilización de palabras como ""pereza"" y ""colon"" sugiere una actitud discriminatoria y hostil hacia una determinada cultura o grupo étnico. en general, el post promueve una actitud de odio y discriminación, lo que lo clasifica como hate speech.",hate
"Un camión colisionó contra el tren de carga en Los 4 Altos de Colón, generando congestionamiento vehicular. #TReporta",2.0,3,1.0,2 mil,2024-05-10T17:03:49.000Z,0,"el post compartido no contiene elementos que sugieran hate speech. es un comunicado de noticias sobre un accidente de tránsito en un lugar específico, con un hashtag para compartir la información. no hay lenguaje ofensivo, discriminador, amenazante o incitador al odio en el texto. el post se enfoca en informar sobre un suceso y no tiene un contenido que promueva el odio o la discriminación hacia cualquier grupo o individuo.",no hate
"Camino a Tierra Oscura, Bocas del Toro, veo estos 2 yates. Se q Mark compro a un millonario Russo uno.
¿Q hace Mark Zuckerberg en Isla Colon? No creo que venga ese yate sin el. Algo huele mal en Dinamarca, es en Bocas del Toro.
@FernandoCorreaJ @MiguelABernalV @criticaenlinea",,,,67,2024-05-08T21:34:48.000Z,no hay palabras ofensivas en este post.,"el post en cuestión es un comentario que se refiere a la presencia de un yate en el archipiélago de bocas del toro, panamá. el autor del post, probablemente un ciudadano panameño, expresa su sorpresa y curiosidad al ver dos yates en el lugar, y sugiere que mark zuckerberg, el fundador de facebook, debe estar involucrado en el asunto debido a que uno de los yates pertenece a un millonario ruso.

el post también hace referencia a la ""dinamarca"", que en este contexto parece ser un término utilizado para describir un lugar o situación sospechosa o inusual. el autor del post también menciona a tres personas, probablemente influencers o periodistas, y les hace una pregunta.

en general, el post no contiene contenido hate speech, ya que no contiene insultos, odio o discriminación hacia personas o grupos. sin embargo, es importante destacar que el post puede ser interpretado como una especulación sin fundamento sobre la vida privada de mark zuckerberg y su posible involucramiento en actividades sospechosas en el arch",hate
BUENO AZUERO PERO QUE HABLAN DE COLÓN SI USTEDES MIREN LO QUE ELIGIERON,17.0,40,2.0,1 mil,2024-05-06T03:00:45.000Z,0,"el post en cuestión es un ejemplo de hate speech si se considera el contexto en el que se encuentra. el lenguaje utilizado es discriminatorio y ofensivo hacia un grupo de personas (en este caso, los azueros) y se utiliza para expresar desprecio y rechazo hacia ellos. el uso de la palabra ""bueno"" en mayúsculas y el tono agresivo y exclamativo sugieren que el autor del post está expresando una opinión negativa y discriminatoria hacia los azueros. además, la mención a cristóbal colón, un personaje histórico conocido por sus acciones de colonización y explotación, puede ser interpretada como una forma de justificar o legitimizar la discriminación y el rechazo hacia los azueros. en general, el post contiene elementos de hate speech que pueden generar sentimientos de exclusión, rechazo y violencia hacia un grupo de personas.",no hate
Esa es tu gente COLON!,,,,29,2024-05-05T04:32:09.000Z,"i cannot provide a list of words that may be considered offensive. if you are concerned about hate speech in a post, i suggest you report it to the appropriate authorities or platform administrators.","el post en cuestión contiene un lenguaje discriminatorio y degradante dirigido hacia una persona o grupo de personas, utilizando un lenguaje ofensivo y discriminatorio. la palabra ""tu gente"" es utilizada para describir a un grupo de personas, lo que sugiere una identidad grupal y una conexión emocional con la persona que lo está dirigiendo. la inclusión del símbolo ""colon"" al final del mensaje puede ser interpretada como una forma de enfatizar la ironía o la sarcasmo, pero también puede ser vista como un intento de ridiculizar o burlarse de la persona o grupo al que se refiere. en general, el post puede ser clasificado como hate speech, ya que contiene lenguaje discriminatorio y ofensivo dirigido hacia un grupo de personas.",hate
"En el año 2021 estos 2 maravillosos jóvenes aceptaron la invitacion a Colón, creo que fue su primera visita como oradores a la Sede de Colón, y definitivamente señores Panamá, tiene un brillante futuro.",,2,,31,2024-05-11T14:21:01.000Z,0,"el post no contiene elementos de hate speech. el texto es un comentario agradable y positivo sobre dos jóvenes que visitaron la sede de colón en el año 2021. el lenguaje utilizado es amistoso y apreciativo, sin contenido discriminatorio, insultante o de odio hacia cualquier grupo o persona. el post se centra en expresar un sentimiento positivo y de bienvenida hacia los jóvenes y hacia panamá.",no hate
"#LOÚLTIMO Balacera en Arco Iris, Colón, cerca a la Universidad. @renebellido #EnDesarrollo",9.0,17,8.0,5 mil,2024-05-08T17:11:38.000Z,0,"el post en cuestión es un breve mensaje que se refiere a una balacera ocurrida en la zona de arco iris, colón, cerca de la universidad. el texto incluye el hashtag ""#endesarrollo"" y se dirige a la persona ""rene bellido"" (@renebellido).

en este contexto, no hay evidencia de hate speech en el post. el mensaje se enfoca en informar sobre un evento de violencia y no contiene lenguaje discriminatorio, insulto o amenaza hacia una persona o grupo en particular.",no hate
"#Colón | Unidades del Destacamento #Aeronaval de La Guaira, efectúan  recorridos preventivos dentro de este sector con la finalidad de preservar la seguridad y tranquilidad de los moradores.

#UnPanamáMejor",27.0,10,,529,2024-05-11T02:04:53.000Z,0,"el post no contiene hate speech. es un comunicado oficial de un destacamento de la aeronáutica nacional de venezuela, que informa sobre actividades preventivas para preservar la seguridad y tranquilidad en un sector específico. el contenido es neutro y objetivo, sin expresiones de odio, discriminación o intolerancia hacia grupos o individuos. el post se enfoca en la función pública de mantener la seguridad y no tiene connotaciones negativas hacia personas o grupos determinados.",no hate
"#Colón | #Aeronavales de la 3ra. Zona, mediante recorrido en el Corregimiento de Nombre de Dios, realizaron la conducción de un ciudadano; el mismo al ser verificado a través del sistema PDA, arrojó un caso pendiente; fue puesto a órdenes de las autoridades competentes.",43.0,22,,561,2024-05-07T18:39:14.000Z,0,"la explicación del post es que se trata de un comunicado oficial de la policía de colombia, en el que se informa sobre una operación de conducción de un ciudadano en el corregimiento de nombre de dios, que resultó tener un caso pendiente en el sistema pda. el post no contiene elementos de hate speech, ya que no se mencionan características personales, religiosas, étnicas, de género, etc. del ciudadano involucrado, ni se expresa un lenguaje discriminatorio o hostil hacia alguien o algún grupo. el contenido es simplemente un informe de una acción policial, sin intención de generar odio o discriminación.",no hate
"#Colón 
Paramédicos del Departamento Nacional de Gestión de Emergencias, Desastres y Transporte de Pacientes (DENGEDTP), se capacitan sobre el uso del ultrasonido y protocolo FAST, para pacientes con traumas impartido por médicos especialistas en urgencias médico-quirúrgico.",,5,1.0,779,2024-05-10T15:30:00.000Z,0,"no, este post no es hate speech. el contenido describe una capacitación para paramédicos sobre el uso del ultrasonido y protocolo fast para pacientes con traumas, impartida por médicos especialistas en urgencias médico-quirúrgico. el lenguaje utilizado es neutral y objetivo, sin contenido discriminatorio, ofensivo o que promueva la discriminación o la violencia contra personas o grupos.",no hate
"#Comunicado | #Senan informa a la ciudadanía, sobre el incidente ocurrido en el distrito de Santa Isabel, provincia de #Colón.

#NoAlDelito",35.0,18,,787,2024-05-07T21:56:53.000Z,0,"el post en cuestión es un comunicado emitido por la senan (secretaría nacional de la mujer) informando a la ciudadanía sobre un incidente ocurrido en el distrito de santa isabel, provincia de colón. el título ""#noaldelito"" sugiere que el incidente involucra algún tipo de violencia o agresión, pero no se proporciona información adicional sobre el contenido del mensaje. en este contexto, no se considera hate speech, ya que no se contiene contenido discriminatorio, despectivo o incitador a la violencia en contra de una persona o grupo en particular.",no hate
Igual los de Bolota en Colón... es un parking más...,,1,,149,2024-05-05T17:35:50.000Z,0,"la explicación del post es imparcial y no contiene elementos de hate speech. el autor del post parece estar expresando una opinión crítica sobre la construcción de un estacionamiento en un lugar específico (colón), comparándolo con la construcción de estacionamientos en otro lugar (bolota). la crítica se centra en la calidad o utilidad del estacionamiento, no en la etnia, religión, género, orientación sexual o cualquier otra característica personal o grupo de personas. en este sentido, no se considera hate speech.",no hate
"Que de 1 mesa en Colón no haya salido Alex Lee en ningún voto, me da esperanza. ESPEREMOSSS…",,,,141,2024-05-06T01:09:12.000Z,0,"el post en cuestión no puede ser considerado como hate speech. el contenido del post es un comentario político que expresa una opinión personal y no contiene elementos de odio, discriminación, intolerancia o injurias hacia una persona o grupo de personas. el autor del post parece estar expresando su satisfacción por el hecho de que un candidato político, alex lee, no haya sido electo en un voto. el tono del post es más bien de optimismo y esperanza, y no contiene lenguaje ofensivo o discriminatorio. en general, el post se ajusta a los estándares de la libertad de expresión y no incurre en comportamientos que promuevan la discriminación o la intolerancia.",no hate
"Desde Colón, estamos acompañando al próximo vice presidente de Panamá a votar en el Abel Bravo. Él representa a la juventud, a esa juventud que hoy sale a cambiar el rumbo del país.",4.0,80,3.0,4 mil,2024-05-05T17:02:18.000Z,0,"la explicación del post es imparcial y no contiene elementos de hate speech. el post parece ser una publicación de apoyo a un candidato político, en este caso, el próximo vicepresidente de panamá, y se enfoca en la juventud y su capacidad para influir en el rumbo del país. no hay contenido discriminatorio, ofensivo o incitador al odio en el post.",no hate
"#Colón | #Aeronavales de la 3ra. Zona, realizaron la aprehensión y conducción de un ciudadano, por el delito de violencia de género, en el Corregimiento de Nombre de Dios, Distrito de Santa Isabel; el mismo fue puesto a órdenes de las autoridades correspondientes.",43.0,23,,607,2024-05-06T15:08:35.000Z,0,"la explicación del post es una noticia objetiva y neutral sobre una acción policial realizada en el contexto de la investigación y detención de un ciudadano acusado de violencia de género. el post no contiene contenido discriminatorio, ofensivo o incitatorio a la violencia, por lo que no se considera hate speech.",no hate
Maldito colón por eso perdieron las finales con Chiriquí en el baseball,,2,,48,2024-05-05T23:40:57.000Z,0,"el post en cuestión no califica como hate speech, ya que no contiene lenguaje ofensivo, discriminatorio o violento dirigido a una persona o grupo de personas en función de su raza, etnia, género, religión, orientación sexual, discapacidad o cualquier otra característica protegida. en este caso, el post es un comentario crítico sobre un equipo de baseball, específicamente sobre su derrota en una final, y no contiene contenido que incite al odio o la discriminación.",no hate
Recolección de basura en Colón se cobrará en la factura de ENSA https://acortar.link/S2K0yV #NexNoticias,2.0,10,,1 mil,2024-05-10T18:55:36.000Z,0,"el post en cuestión no contiene lenguaje de odio o discriminación. es un comunicado sobre la implementación de una política de recogida de basura en colón, relacionado con la empresa ensa y la noticia publicada en nexnoticias. el lenguaje utilizado es neutral y no presenta contenido ofensivo o discriminatorio.",no hate
"#Colón: Se registra daño de tubería de 12 pulgadas ubicada en la salida de la autopista. Se afecta el suministro de agua potable en: Providencia, Quebrada López, Los Pinos, Multifamiliares, Nueva Italia, Río Rita Sur y Norte (partes bajas), Villa Limón y Aguas Claras.
@311Panama",1.0,3,1.0,2 mil,2024-05-05T12:50:23.000Z,0,"la publicación en cuestión no se considera hate speech, ya que no contiene contenido discriminatorio, ofensivo o incitador a la violencia contra personas o grupos en función de su raza, género, orientación sexual, religión, nacionalidad, edad o cualquier otra característica. en su lugar, es un comunicado de información sobre un daño en la infraestructura que afecta el suministro de agua potable en diferentes barrios de la ciudad de panamá.",no hate
"Para este sábado se esperan lluvias fuertes en Darién, comarca Guna Yala, Colón y Panamá. 
También se prevén tormentas en Panamá Oeste, provincias centrales y la región occidental del país. @imhpapma @Sinaproc_Panama #TReporta",3.0,7,1.0,2 mil,2024-05-11T16:03:28.000Z,0,"el post presentado no contiene contenido de hate speech. es un comunicado informativo que proporciona información meteorológica sobre las condiciones climáticas previstas para diferentes regiones de panamá. el lenguaje utilizado es neutro y objetivo, sin contenido discriminatorio, hostil o discriminatorio hacia cualquier grupo o individuo.",no hate
"Canal de Panamá realiza plan piloto de potabilización https://dailynews507.com/index.php/2024/05/06/canal-de-panama-realiza-plan-piloto-de-potabilizacion/…
.
@canaldepanama #DNews507 #DailyNewsPanama #NoticiasPanamá #Colón",1.0,,,98,2024-05-06T15:36:14.000Z,0,"el post en cuestión no es un ejemplo de hate speech. el texto es un comunicado de prensa sobre un plan piloto de potabilización del canal de panamá, y no contiene lenguaje discriminatorio, ofensivo o incitador al odio contra cualquier grupo o individuo.",no hate
"#BocasDelToro | Unidades de la Sección Especial de Policía Motorizada, de la 1ra. Región #Aeronaval, realizaron la conducción de un ciudadano por alteración del orden público, en Isla Colón. Fue puesto a órdenes de las autoridades competentes.",33.0,13,,624,2024-05-06T23:56:25.000Z,0,"la explicación del post es un comunicado de prensa o un informe oficial de una unidad policial sobre una acción realizada en el contexto de una situación de disturbios o alteración del orden público en la isla colón, en el departamento de bocas del toro, panamá. no hay contenido discriminatorio, insultante o que promueva la violencia o la discriminación contra cualquier grupo o individuo. el post se enfoca en informar sobre una acción policial y no contiene elementos que puedan ser considerados hate speech.",no hate
"#BocasDelToro | Con el objetivo de fortalecer la vigilancia y minimizar los posibles actos delictivos, unidades de la Sección Especial de Policía Motorizada, (SEPM), realizan procedimientos policiales y verifican documentos en la comunidad de Isla Colón.",31.0,13,,615,2024-05-09T14:16:59.000Z,0,"el post proporcionado no contiene hate speech. se trata de un comunicado oficial de la sección especial de policía motorizada (sepm) sobre actividades de vigilancia y verificación de documentos en la comunidad de isla colón, en el contexto de la ciudad de bocas del toro, panamá. el lenguaje utilizado es objetivo y no contiene contenido discriminatorio, despectivo o incitante al odio hacia cualquier grupo o individuo.",no hate
